ISCO-08,ONET-SOC,Job title
2352,25-2023.00,"Career/Technical Education Teachers, Middle School"
2352,25-3041.00,Tutors
2352,25-2011.00,"Preschool Teachers, Except Special Education"
2352,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
2353,25-1123.00,"English Language and Literature Teachers, Postsecondary"
2353,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
2353,25-2021.00,"Elementary School Teachers, Except Special Education"
2353,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
2353,25-2023.00,"Career/Technical Education Teachers, Middle School"
2353,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
2353,25-2051.00,"Special Education Teachers, Preschool"
2353,25-2057.00,"Special Education Teachers, Middle School"
2353,25-2058.00,"Special Education Teachers, Secondary School"
2353,29-1127.00,Speech-Language Pathologists
2354,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
2355,11-9039.00,"Education Administrators, All Other"
2355,25-3099.00,"Teachers and Instructors, All Other"
2355,27-2031.00,Dancers
2355,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
2355,27-4021.00,Photographers
2356,13-1151.00,Training and Development Specialists
2356,25-1021.00,"Computer Science Teachers, Postsecondary"
2359,25-3031.00,"Substitute Teachers, Short-Term"
2359,25-3041.00,Tutors
2359,13-2071.00,Credit Counselors
2359,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
2359,39-9041.00,Residential Advisors
2359,11-3131.00,Training and Development Managers
2359,13-1151.00,Training and Development Specialists
2359,25-9031.00,Instructional Coordinators
2359,19-3034.00,School Psychologists
2359,33-1011.00,First-Line Supervisors of Correctional Officers
2359,33-3012.00,Correctional Officers and Jailers
2359,25-1199.00,"Postsecondary Teachers, All Other"
2359,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
2359,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
2359,29-1181.00,Audiologists
2359,31-9099.01,Speech-Language Pathology Assistants
2359,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
2411,13-2011.00,Accountants and Auditors
2411,13-2031.00,Budget Analysts
2411,13-2061.00,Financial Examiners
2411,13-2082.00,Tax Preparers
2411,13-2099.04,"Fraud Examiners, Investigators and Analysts"
2411,11-3031.01,Treasurers and Controllers
2411,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
2411,11-2033.00,Fundraising Managers
2411,11-9121.01,Clinical Research Coordinators
2411,13-1131.00,Fundraisers
2411,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
2411,23-2093.00,"Title Examiners, Abstractors, and Searchers"
2411,43-3011.00,Bill and Account Collectors
2411,13-1111.00,Management Analysts
2411,15-2031.00,Operations Research Analysts
2411,13-1051.00,Cost Estimators
2411,43-3051.00,Payroll and Timekeeping Clerks
2411,11-9199.08,Loss Prevention Managers
2411,33-9021.00,Private Detectives and Investigators
2411,33-9099.02,Retail Loss Prevention Specialists
2412,11-3031.03,Investment Fund Managers
2412,13-2052.00,Personal Financial Advisors
2412,13-2022.00,Appraisers of Personal and Business Property
2412,13-2023.00,Appraisers and Assessors of Real Estate
2412,13-2051.00,Financial and Investment Analysts
2412,13-2061.00,Financial Examiners
2412,13-2099.01,Financial Quantitative Analysts
2412,11-2033.00,Fundraising Managers
2412,13-1131.00,Fundraisers
2412,13-2099.00,"Financial Specialists, All Other"
2412,13-2071.00,Credit Counselors
2412,13-2072.00,Loan Officers
2412,43-4141.00,New Accounts Clerks
2412,11-9199.02,Compliance Managers
2412,11-9199.08,Loss Prevention Managers
2412,13-1199.04,Business Continuity Planners
2412,13-2054.00,Financial Risk Specialists
2412,43-3071.00,Tellers
2413,13-2051.00,Financial and Investment Analysts
2413,13-2054.00,Financial Risk Specialists
2413,13-2099.01,Financial Quantitative Analysts
2413,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
2413,13-1032.00,"Insurance Appraisers, Auto Damage"
2413,13-2022.00,Appraisers of Personal and Business Property
2413,13-2023.00,Appraisers and Assessors of Real Estate
2413,15-2011.00,Actuaries
2413,43-9041.00,Insurance Claims and Policy Processing Clerks
2413,11-3031.03,Investment Fund Managers
2413,23-2093.00,"Title Examiners, Abstractors, and Searchers"
2413,13-1111.00,Management Analysts
2421,13-1051.00,Cost Estimators
2421,13-1111.00,Management Analysts
2421,15-2051.01,Business Intelligence Analysts
2421,13-1082.00,Project Management Specialists
2421,15-2031.00,Operations Research Analysts
2421,15-1243.01,Data Warehousing Specialists
2421,15-2041.00,Statisticians
2422,19-2041.01,Climate Change Policy Analysts
2422,21-1091.00,Health Education Specialists
2422,33-3021.06,Intelligence Analysts
2422,11-1021.00,General and Operations Managers
2422,13-1111.00,Management Analysts
2422,43-9061.00,"Office Clerks, General"
2422,19-4061.00,Social Science Research Assistants
2422,43-6011.00,Executive Secretaries and Executive Administrative Assistants
2422,19-1041.00,Epidemiologists
2422,17-2021.00,Agricultural Engineers
2422,13-1041.03,Equal Opportunity Representatives and Officers
2422,11-9199.01,Regulatory Affairs Managers
2422,11-9199.02,Compliance Managers
2422,11-9072.00,"Entertainment and Recreation Managers, Except Gambling"
2422,19-3051.00,Urban and Regional Planners
2422,19-3099.00,"Social Scientists and Related Workers, All Other"
2422,11-1011.00,Chief Executives
2422,11-9151.00,Social and Community Service Managers
2422,11-1011.03,Chief Sustainability Officers
2422,11-9121.02,Water Resource Specialists
2422,19-3011.01,Environmental Economists
2422,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
2422,13-2082.00,Tax Preparers
2422,19-3011.00,Economists
2422,19-3094.00,Political Scientists
2422,27-3031.00,Public Relations Specialists
2422,11-3061.00,Purchasing Managers
2422,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
2422,43-3061.00,Procurement Clerks
2422,43-4061.00,"Eligibility Interviewers, Government Programs"
2422,27-2022.00,Coaches and Scouts
2422,39-9032.00,Recreation Workers
2422,21-1015.00,Rehabilitation Counselors
2422,13-1041.04,Government Property Inspectors and Investigators
2422,33-9021.00,Private Detectives and Investigators
2423,13-1041.03,Equal Opportunity Representatives and Officers
2423,13-1071.00,Human Resources Specialists
2423,13-1075.00,Labor Relations Specialists
2423,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
2423,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
2423,13-2071.00,Credit Counselors
2423,21-1015.00,Rehabilitation Counselors
2423,11-3111.00,Compensation and Benefits Managers
2423,11-3121.00,Human Resources Managers
2423,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
2423,13-1111.00,Management Analysts
2423,15-2031.00,Operations Research Analysts
2423,19-3032.00,Industrial-Organizational Psychologists
2424,11-3131.00,Training and Development Managers
2424,13-1151.00,Training and Development Specialists
2431,13-1161.00,Market Research Analysts and Marketing Specialists
2431,13-1199.06,Online Merchants
2431,27-3043.00,Writers and Authors
2431,27-3043.05,"Poets, Lyricists and Creative Writers"
2431,11-2011.00,Advertising and Promotions Managers
2431,11-2021.00,Marketing Managers
2431,13-1161.01,Search Marketing Strategists
2431,11-2032.00,Public Relations Managers
2431,15-2051.01,Business Intelligence Analysts
2431,19-3022.00,Survey Researchers
2431,11-3012.00,Administrative Services Managers
2431,11-9199.00,"Managers, All Other"
2431,13-1121.00,"Meeting, Convention, and Event Planners"
2431,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
2431,13-1082.00,Project Management Specialists
2431,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
2431,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
2431,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
2431,27-1011.00,Art Directors
2431,27-1024.00,Graphic Designers
2431,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
2431,11-9081.00,Lodging Managers
2432,11-2033.00,Fundraising Managers
2432,13-1131.00,Fundraisers
2432,27-3031.00,Public Relations Specialists
2432,11-2032.00,Public Relations Managers
2432,11-1031.00,Legislators
2432,41-9041.00,Telemarketers
2432,21-1099.00,"Community and Social Service Specialists, All Other"
2432,13-1161.01,Search Marketing Strategists
2432,13-1199.06,Online Merchants
2432,19-3094.00,Political Scientists
2432,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
2433,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
2433,41-4011.07,Solar Sales Representatives and Assessors
2433,41-9031.00,Sales Engineers
2433,49-9099.00,"Installation, Maintenance, and Repair Workers, All Other"
2433,17-2199.03,"Energy Engineers, Except Wind and Solar"
2433,17-2199.11,Solar Energy Systems Engineers
2433,47-4011.01,Energy Auditors
2433,41-2022.00,Parts Salespersons
2433,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
2433,47-1011.03,Solar Energy Installation Managers
2433,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
2434,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
2434,11-9199.00,"Managers, All Other"
2434,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
2434,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
2434,41-9031.00,Sales Engineers
2511,15-1211.00,Computer Systems Analysts
2511,15-1211.01,Health Informatics Specialists
2511,15-1221.00,Computer and Information Research Scientists
2511,15-1299.08,Computer Systems Engineers/Architects
2511,15-2051.00,Data Scientists
2511,19-1029.01,Bioinformatics Scientists
2511,15-1299.09,Information Technology Project Managers
2511,15-1243.00,Database Architects
2511,15-1241.00,Computer Network Architects
2511,15-1244.00,Network and Computer Systems Administrators
2511,15-1242.00,Database Administrators
2511,15-1299.07,Blockchain Engineers
2511,15-1251.00,Computer Programmers
2511,15-1252.00,Software Developers
2511,15-1254.00,Web Developers
2511,13-2011.00,Accountants and Auditors
2511,15-1255.00,Web and Digital Interface Designers
2511,17-2112.01,Human Factors Engineers and Ergonomists
2511,17-2199.07,Photonics Engineers
2511,15-1243.01,Data Warehousing Specialists
2511,15-2051.01,Business Intelligence Analysts
2511,43-9111.00,Statistical Assistants
2511,15-2041.00,Statisticians
2511,17-2199.05,Mechatronics Engineers
2511,11-1011.03,Chief Sustainability Officers
2512,15-1252.00,Software Developers
2512,15-1299.07,Blockchain Engineers
2512,15-1242.00,Database Administrators
2512,15-1299.08,Computer Systems Engineers/Architects
2512,15-1211.00,Computer Systems Analysts
2512,15-1211.01,Health Informatics Specialists
2512,15-1251.00,Computer Programmers
2512,15-1253.00,Software Quality Assurance Analysts and Testers
2512,15-1254.00,Web Developers
2512,15-1299.01,Web Administrators
2512,15-1255.00,Web and Digital Interface Designers
2513,13-1161.01,Search Marketing Strategists
2513,15-1254.00,Web Developers
2513,15-1255.00,Web and Digital Interface Designers
2513,15-1252.00,Software Developers
2513,15-1255.01,Video Game Designers
2513,13-1161.00,Market Research Analysts and Marketing Specialists
2513,15-1299.01,Web Administrators
2513,15-1251.00,Computer Programmers
2514,15-1251.00,Computer Programmers
2514,51-9162.00,Computer Numerically Controlled Tool Programmers
2514,15-1211.00,Computer Systems Analysts
2514,15-1242.00,Database Administrators
2514,15-1252.00,Software Developers
2514,15-1254.00,Web Developers
2514,15-1299.01,Web Administrators
2514,15-1299.08,Computer Systems Engineers/Architects
2514,17-2061.00,Computer Hardware Engineers
2514,15-1299.07,Blockchain Engineers
2514,51-4041.00,Machinists
2514,51-9161.00,Computer Numerically Controlled Tool Operators
2519,13-1199.04,Business Continuity Planners
2519,15-1253.00,Software Quality Assurance Analysts and Testers
2519,15-1243.01,Data Warehousing Specialists
2519,15-2041.00,Statisticians
2519,11-9199.00,"Managers, All Other"
2519,15-1299.08,Computer Systems Engineers/Architects
2519,15-1212.00,Information Security Analysts
2519,15-1299.06,Digital Forensics Analysts
2519,11-3051.01,Quality Control Systems Managers
2519,15-1211.00,Computer Systems Analysts
2519,15-1255.00,Web and Digital Interface Designers
2521,15-1242.00,Database Administrators
2521,15-1243.00,Database Architects
2521,15-1243.01,Data Warehousing Specialists
2521,15-1299.01,Web Administrators
2521,15-1252.00,Software Developers
2522,15-1231.00,Computer Network Support Specialists
2522,15-1244.00,Network and Computer Systems Administrators
2522,15-1232.00,Computer User Support Specialists
2522,15-1241.00,Computer Network Architects
2522,15-1211.00,Computer Systems Analysts
2523,15-1241.00,Computer Network Architects
2523,15-1231.00,Computer Network Support Specialists
2523,15-1299.07,Blockchain Engineers
2523,15-1241.01,Telecommunications Engineering Specialists
2523,15-1244.00,Network and Computer Systems Administrators
2523,15-1299.08,Computer Systems Engineers/Architects
2529,15-1212.00,Information Security Analysts
2529,15-1299.04,Penetration Testers
2529,15-1299.05,Information Security Engineers
2529,15-1299.06,Digital Forensics Analysts
2529,13-1199.07,Security Management Specialists
2529,19-4092.00,Forensic Science Technicians
2529,33-3021.06,Intelligence Analysts
2529,15-1299.07,Blockchain Engineers
2529,13-1199.04,Business Continuity Planners
2529,15-1244.00,Network and Computer Systems Administrators
2529,11-3021.00,Computer and Information Systems Managers
2529,11-9199.08,Loss Prevention Managers
2529,15-1221.00,Computer and Information Research Scientists
2529,15-1243.00,Database Architects
2529,15-2051.00,Data Scientists
2611,23-1011.00,Lawyers
2611,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
2611,23-2011.00,Paralegals and Legal Assistants
2611,13-1041.06,Coroners
2611,19-4092.00,Forensic Science Technicians
2611,23-1022.00,"Arbitrators, Mediators, and Conciliators"
2611,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
2611,33-3011.00,Bailiffs
2612,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
2612,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
2612,13-1041.06,Coroners
2612,23-1011.00,Lawyers
2612,23-1012.00,Judicial Law Clerks
2612,23-1022.00,"Arbitrators, Mediators, and Conciliators"
2612,33-3011.00,Bailiffs
2619,11-9199.01,Regulatory Affairs Managers
2619,11-9199.02,Compliance Managers
2619,13-1041.06,Coroners
2619,13-1041.07,Regulatory Affairs Specialists
2619,23-1022.00,"Arbitrators, Mediators, and Conciliators"
2619,11-9199.00,"Managers, All Other"
2619,23-1012.00,Judicial Law Clerks
2619,23-2011.00,Paralegals and Legal Assistants
2619,23-2093.00,"Title Examiners, Abstractors, and Searchers"
2619,13-1041.03,Equal Opportunity Representatives and Officers
2619,13-1041.00,Compliance Officers
2619,19-4092.00,Forensic Science Technicians
2619,29-1222.00,"Physicians, Pathologists"
2619,39-4012.00,Crematory Operators
2619,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
2619,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
2619,27-3092.00,Court Reporters and Simultaneous Captioners
2619,33-3011.00,Bailiffs
2619,43-9199.00,"Office and Administrative Support Workers, All Other"
2619,23-1011.00,Lawyers
2619,11-1031.00,Legislators
2619,13-1071.00,Human Resources Specialists
2619,13-1075.00,Labor Relations Specialists
2621,15-1299.03,Document Management Specialists
2621,25-4011.00,Archivists
2621,25-4012.00,Curators
2621,25-4013.00,Museum Technicians and Conservators
2621,25-4022.00,Librarians and Media Collections Specialists
2621,25-4031.00,Library Technicians
2621,43-4071.00,File Clerks
2621,43-4121.00,"Library Assistants, Clerical"
2621,43-3011.00,Bill and Account Collectors
2621,49-9071.00,"Maintenance and Repair Workers, General"
2621,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
2621,19-1031.00,Conservation Scientists
2621,19-1011.00,Animal Scientists
2622,25-4022.00,Librarians and Media Collections Specialists
2622,15-1299.03,Document Management Specialists
2622,25-4011.00,Archivists
2622,29-9021.00,Health Information Technologists and Medical Registrars
2622,25-4031.00,Library Technicians
2631,19-3011.00,Economists
2631,19-3011.01,Environmental Economists
2631,19-2041.01,Climate Change Policy Analysts
2631,13-2099.01,Financial Quantitative Analysts
2631,15-2041.00,Statisticians
2631,25-1063.00,"Economics Teachers, Postsecondary"
2631,15-2031.00,Operations Research Analysts
2631,13-1111.00,Management Analysts
2631,11-2033.00,Fundraising Managers
2631,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
2631,13-2082.00,Tax Preparers
2632,19-3041.00,Sociologists
2632,19-3091.00,Anthropologists and Archeologists
2632,19-3092.00,Geographers
2632,19-3093.00,Historians
2632,19-4061.00,Social Science Research Assistants
2632,25-1122.00,"Communications Teachers, Postsecondary"
2632,27-3031.00,Public Relations Specialists
2632,15-2041.01,Biostatisticians
2632,19-3039.02,Neuropsychologists
2632,19-3039.03,Clinical Neuropsychologists
2632,13-1041.06,Coroners
2632,19-4092.00,Forensic Science Technicians
2632,15-1299.02,Geographic Information Systems Technologists and Technicians
2632,17-1021.00,Cartographers and Photogrammetrists
2632,17-1022.01,Geodetic Surveyors
2632,19-2099.01,Remote Sensing Scientists and Technologists
2632,19-4099.03,Remote Sensing Technicians
2632,25-1064.00,"Geography Teachers, Postsecondary"
2632,19-3094.00,Political Scientists
2632,25-1067.00,"Sociology Teachers, Postsecondary"
2632,19-3022.00,Survey Researchers
2632,29-9092.00,Genetic Counselors
2633,19-3093.00,Historians
2633,19-3094.00,Political Scientists
2633,25-1125.00,"History Teachers, Postsecondary"
2633,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
2633,19-3041.00,Sociologists
2633,25-1065.00,"Political Science Teachers, Postsecondary"
2634,19-3032.00,Industrial-Organizational Psychologists
2634,19-3033.00,Clinical and Counseling Psychologists
2634,19-3034.00,School Psychologists
2634,19-3039.02,Neuropsychologists
2634,19-3039.03,Clinical Neuropsychologists
2634,13-1041.06,Coroners
2634,19-4092.00,Forensic Science Technicians
2634,33-3021.00,Detectives and Criminal Investigators
2634,33-3021.02,Police Identification and Records Officers
2634,33-3021.06,Intelligence Analysts
2634,33-9021.00,Private Detectives and Investigators
2634,21-1013.00,Marriage and Family Therapists
2634,21-1014.00,Mental Health Counselors
2634,25-1066.00,"Psychology Teachers, Postsecondary"
2634,29-1129.02,Music Therapists
2634,29-2053.00,Psychiatric Technicians
2634,29-1127.00,Speech-Language Pathologists
2634,29-1129.01,Art Therapists
2634,29-1141.02,Advanced Practice Psychiatric Nurses
2635,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
2635,21-1013.00,Marriage and Family Therapists
2635,21-1014.00,Mental Health Counselors
2635,21-1015.00,Rehabilitation Counselors
2635,21-1022.00,Healthcare Social Workers
2635,21-1023.00,Mental Health and Substance Abuse Social Workers
2635,21-1092.00,Probation Officers and Correctional Treatment Specialists
2635,19-3033.00,Clinical and Counseling Psychologists
2635,21-1093.00,Social and Human Service Assistants
2635,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
2635,19-1041.00,Epidemiologists
2635,21-1091.00,Health Education Specialists
2635,29-1215.00,Family Medicine Physicians
2635,29-9092.00,Genetic Counselors
2635,29-9099.01,Midwives
2635,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
2635,25-3021.00,Self-Enrichment Teachers
2635,21-1029.00,"Social Workers, All Other"
2635,43-4061.00,"Eligibility Interviewers, Government Programs"
2635,19-3034.00,School Psychologists
2635,21-1021.00,"Child, Family, and School Social Workers"
2635,11-9151.00,Social and Community Service Managers
2635,21-1099.00,"Community and Social Service Specialists, All Other"
2635,29-2053.00,Psychiatric Technicians
2635,29-2061.00,Licensed Practical and Licensed Vocational Nurses
2635,31-1121.00,Home Health Aides
2635,31-1122.00,Personal Care Aides
2635,33-1011.00,First-Line Supervisors of Correctional Officers
2635,33-3012.00,Correctional Officers and Jailers
2635,29-1122.00,Occupational Therapists
2635,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
2635,31-2011.00,Occupational Therapy Assistants
2635,39-9041.00,Residential Advisors
2635,21-1019.00,"Counselors, All Other"
2635,21-1094.00,Community Health Workers
2636,21-2011.00,Clergy
2636,21-2021.00,"Directors, Religious Activities and Education"
2641,27-3042.00,Technical Writers
2641,27-3043.00,Writers and Authors
2641,27-3043.05,"Poets, Lyricists and Creative Writers"
2641,27-3041.00,Editors
2641,43-9031.00,Desktop Publishers
2641,43-9081.00,Proofreaders and Copy Markers
2641,25-1123.00,"English Language and Literature Teachers, Postsecondary"
2641,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
2641,27-2041.00,Music Directors and Composers
2641,15-1299.03,Document Management Specialists
2642,27-3023.00,"News Analysts, Reporters, and Journalists"
2642,27-3041.00,Editors
2642,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
2642,27-3043.00,Writers and Authors
2642,27-4021.00,Photographers
2642,43-9031.00,Desktop Publishers
2642,19-3094.00,Political Scientists
2642,27-3043.05,"Poets, Lyricists and Creative Writers"
2642,27-2012.03,Media Programming Directors
2642,27-3042.00,Technical Writers
2642,43-9081.00,Proofreaders and Copy Markers
2643,27-3091.00,Interpreters and Translators
2643,19-4092.00,Forensic Science Technicians
2643,27-3092.00,Court Reporters and Simultaneous Captioners
2643,31-9099.01,Speech-Language Pathology Assistants
2643,27-3042.00,Technical Writers
2643,27-3043.00,Writers and Authors
2643,27-3043.05,"Poets, Lyricists and Creative Writers"
2643,43-9022.00,Word Processors and Typists
2643,43-9081.00,Proofreaders and Copy Markers
2643,19-3099.00,"Social Scientists and Related Workers, All Other"
2643,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
2643,29-1127.00,Speech-Language Pathologists
2651,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
2651,27-1012.00,Craft Artists
2651,27-1014.00,Special Effects Artists and Animators
2651,27-4032.00,Film and Video Editors
2651,15-1255.01,Video Game Designers
2651,27-4021.00,Photographers
2651,39-3021.00,Motion Picture Projectionists
2651,25-4013.00,Museum Technicians and Conservators
2651,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
2651,49-9071.00,"Maintenance and Repair Workers, General"
2651,27-1021.00,Commercial and Industrial Designers
2651,27-1024.00,Graphic Designers
2651,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
2651,51-9195.05,"Potters, Manufacturing"
2651,27-1011.00,Art Directors
2651,27-1025.00,Interior Designers
2651,41-9012.00,Models
2651,47-2121.00,Glaziers
2651,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
2651,51-9194.00,Etchers and Engravers
2651,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
2652,27-2041.00,Music Directors and Composers
2652,27-2042.00,Musicians and Singers
2652,27-2091.00,"Disc Jockeys, Except Radio"
2652,27-4014.00,Sound Engineering Technicians
2653,27-2031.00,Dancers
2653,27-2032.00,Choreographers
2654,27-2012.00,Producers and Directors
2654,27-2012.03,Media Programming Directors
2654,27-2012.05,Media Technical Directors/Managers
2654,27-4032.00,Film and Video Editors
2654,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
2654,27-1011.00,Art Directors
2654,27-1024.00,Graphic Designers
2654,27-1014.00,Special Effects Artists and Animators
2654,27-2012.04,Talent Directors
2654,27-4021.00,Photographers
2654,27-4031.00,"Camera Operators, Television, Video, and Film"
2654,39-3021.00,Motion Picture Projectionists
2654,27-4015.00,Lighting Technicians
2654,27-1027.00,Set and Exhibit Designers
2654,27-2041.00,Music Directors and Composers
2654,27-2091.00,"Disc Jockeys, Except Radio"
2654,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
2655,27-2011.00,Actors
2656,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
2656,27-3099.00,"Media and Communication Workers, All Other"
2659,27-1019.00,"Artists and Related Workers, All Other"
2659,27-2011.00,Actors
2659,27-2031.00,Dancers
2659,27-2091.00,"Disc Jockeys, Except Radio"
2659,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
2659,27-4012.00,Broadcast Technicians
2659,27-2042.00,Musicians and Singers
2659,27-1012.00,Craft Artists
2659,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
2659,41-9012.00,Models
2659,11-9072.00,"Entertainment and Recreation Managers, Except Gambling"
2659,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
2659,39-3091.00,Amusement and Recreation Attendants
2659,39-7011.00,Tour Guides and Escorts
2659,39-9032.00,Recreation Workers
311,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
3111,17-3028.00,Calibration Technologists and Technicians
3111,19-2099.01,Remote Sensing Scientists and Technologists
3111,19-4013.00,Food Science Technicians
3111,19-4031.00,Chemical Technicians
3111,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
3111,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
3111,19-4044.00,Hydrologic Technicians
3111,19-4051.00,Nuclear Technicians
3111,19-4051.02,Nuclear Monitoring Technicians
3111,19-4099.03,Remote Sensing Technicians
3111,19-2031.00,Chemists
3111,17-3026.01,Nanotechnology Engineering Technologists and Technicians
3111,19-1022.00,Microbiologists
3111,19-4099.01,Quality Control Analysts
3111,51-9141.00,Semiconductor Processing Technicians
3111,11-3051.04,Biomass Power Plant Managers
3111,51-8011.00,Nuclear Power Reactor Operators
3111,17-2112.01,Human Factors Engineers and Ergonomists
3111,29-1124.00,Radiation Therapists
3111,29-2034.00,Radiologic Technologists and Technicians
3111,15-1299.02,Geographic Information Systems Technologists and Technicians
3111,17-1021.00,Cartographers and Photogrammetrists
3111,17-1022.00,Surveyors
3111,17-1022.01,Geodetic Surveyors
3111,17-3031.00,Surveying and Mapping Technicians
3111,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
3111,13-1041.01,Environmental Compliance Inspectors
3111,17-3025.00,Environmental Engineering Technologists and Technicians
3111,19-2041.02,Environmental Restoration Planners
3111,17-2081.00,Environmental Engineers
3111,19-2041.00,"Environmental Scientists and Specialists, Including Health"
3111,19-1012.00,Food Scientists and Technologists
3111,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
3111,17-3029.01,Non-Destructive Testing Specialists
3111,19-2032.00,Materials Scientists
3111,19-2021.00,Atmospheric and Space Scientists
3111,49-9064.00,Watch and Clock Repairers
3112,13-1041.04,Government Property Inspectors and Investigators
3112,17-3022.00,Civil Engineering Technologists and Technicians
3112,17-3031.00,Surveying and Mapping Technicians
3112,33-2021.00,Fire Inspectors and Investigators
3112,47-4011.00,Construction and Building Inspectors
3112,47-4011.01,Energy Auditors
3112,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
3112,53-6041.00,Traffic Technicians
3112,17-2051.00,Civil Engineers
3112,17-2051.01,Transportation Engineers
3112,33-9091.00,Crossing Guards and Flaggers
3112,49-9097.00,Signal and Track Switch Repairers
3112,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
3112,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
3112,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
3112,47-4051.00,Highway Maintenance Workers
3112,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
3112,17-2051.02,Water/Wastewater Engineers
3112,11-3051.01,Quality Control Systems Managers
3112,11-9021.00,Construction Managers
3112,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
3112,33-2011.00,Firefighters
3112,33-2022.00,Forest Fire Inspectors and Prevention Specialists
3112,49-2098.00,Security and Fire Alarm Systems Installers
3112,17-3029.01,Non-Destructive Testing Specialists
3112,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
3112,53-1042.01,Recycling Coordinators
3112,15-1299.02,Geographic Information Systems Technologists and Technicians
3112,17-1021.00,Cartographers and Photogrammetrists
3112,17-1022.00,Surveyors
